Date,Ticker,Per,Open,High,Low,Close,Vol
2010-01-01 00:00:00,D&J-IND,1.0,10428.05,10428.05,10428.05,10428.05,0.0
2010-01-01 01:00:00,,,,,,,
2010-01-01 02:00:00,,,,,,,
2010-01-01 03:00:00,,,,,,,
2010-01-01 04:00:00,,,,,,,
2010-01-01 05:00:00,,,,,,,
2010-01-01 06:00:00,,,,,,,
2010-01-01 07:00:00,,,,,,,
2010-01-01 08:00:00,,,,,,,
2010-01-01 09:00:00,,,,,,,
2010-01-01 10:00:00,,,,,,,
2010-01-01 11:00:00,,,,,,,
2010-01-01 12:00:00,,,,,,,
2010-01-01 13:00:00,,,,,,,
2010-01-01 14:00:00,,,,,,,
2010-01-01 15:00:00,,,,,,,
2010-01-01 16:00:00,,,,,,,
2010-01-01 17:00:00,,,,,,,
2010-01-01 18:00:00,,,,,,,
2010-01-01 19:00:00,,,,,,,
2010-01-01 20:00:00,,,,,,,
2010-01-01 21:00:00,,,,,,,
2010-01-01 22:00:00,,,,,,,
2010-01-01 23:00:00,,,,,,,
2010-01-02 00:00:00,,,,,,,
2010-01-02 01:00:00,,,,,,,
2010-01-02 02:00:00,,,,,,,
2010-01-02 03:00:00,,,,,,,
2010-01-02 04:00:00,,,,,,,
2010-01-02 05:00:00,,,,,,,
2010-01-02 06:00:00,,,,,,,
2010-01-02 07:00:00,,,,,,,
2010-01-02 08:00:00,,,,,,,
2010-01-02 09:00:00,,,,,,,
2010-01-02 10:00:00,,,,,,,
2010-01-02 11:00:00,,,,,,,
2010-01-02 12:00:00,,,,,,,
2010-01-02 13:00:00,,,,,,,
2010-01-02 14:00:00,,,,,,,
2010-01-02 15:00:00,,,,,,,
2010-01-02 16:00:00,,,,,,,
2010-01-02 17:00:00,,,,,,,
2010-01-02 18:00:00,,,,,,,
2010-01-02 19:00:00,,,,,,,
2010-01-02 20:00:00,,,,,,,
2010-01-02 21:00:00,,,,,,,
2010-01-02 22:00:00,,,,,,,
2010-01-02 23:00:00,,,,,,,
2010-01-03 00:00:00,,,,,,,
2010-01-03 01:00:00,,,,,,,
2010-01-03 02:00:00,,,,,,,
2010-01-03 03:00:00,,,,,,,
2010-01-03 04:00:00,,,,,,,
2010-01-03 05:00:00,,,,,,,
2010-01-03 06:00:00,,,,,,,
2010-01-03 07:00:00,,,,,,,
2010-01-03 08:00:00,,,,,,,
2010-01-03 09:00:00,,,,,,,
2010-01-03 10:00:00,,,,,,,
2010-01-03 11:00:00,,,,,,,
2010-01-03 12:00:00,,,,,,,
2010-01-03 13:00:00,,,,,,,
2010-01-03 14:00:00,,,,,,,
2010-01-03 15:00:00,,,,,,,
2010-01-03 16:00:00,,,,,,,
2010-01-03 17:00:00,,,,,,,
2010-01-03 18:00:00,,,,,,,
2010-01-03 19:00:00,,,,,,,
2010-01-03 20:00:00,,,,,,,
2010-01-03 21:00:00,,,,,,,
2010-01-03 22:00:00,,,,,,,
2010-01-03 23:00:00,,,,,,,
2010-01-04 00:00:00,D&J-IND,1.0,10548.51,10549.19,10546.62,10546.77,0.0
2010-01-04 01:00:00,,,,,,,
2010-01-04 02:00:00,D&J-IND,1.0,10571.87,10572.77,10571.34,10572.24,0.0
2010-01-04 03:00:00,D&J-IND,1.0,10575.49,10576.02,10574.59,10575.64,0.0
2010-01-04 04:00:00,D&J-IND,1.0,10570.35,10570.35,10569.3,10569.3,0.0
2010-01-04 05:00:00,D&J-IND,1.0,10591.67,10592.35,10590.0,10592.35,0.0
2010-01-04 06:00:00,D&J-IND,1.0,10592.88,10592.95,10588.72,10588.72,0.0
